id,name,hex6,url,lrv,r,g,b,hex6_detail,description
1003-9B,Roaming Pony,776867,https://www.valspar.com/en/colors/browse-colors/lowes/brown/roaming-pony-1003-9b,14.748,119,104,103,776867,
8004-5F,Cocoa Berry,7B6863,https://www.valspar.com/en/colors/browse-colors/lowes/brown/cocoa-berry-8004-5f,15.0,123,104,99,7B6863,
T589,Land of Nod,A79B85,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/land-of-nod-t589,33.39,167,155,133,A79B85,
T575,Chocolate Oatmeal,AA978D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/chocolate-oatmeal-t575,32.66,170,151,141,AA978D,
2004-9B,Brown Bark,826455,https://www.valspar.com/en/colors/browse-colors/lowes/brown/brown-bark-2004-9b,14.486,130,100,85,826455,
3006-9A,Grecian Helmet,7E633F,https://www.valspar.com/en/colors/browse-colors/lowes/brown/grecian-helmet-3006-9a,13.785,126,99,63,7E633F,
V126-4,Foggy Mauve,AA9694,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/foggy-mauve-v126-4,32.591,170,150,148,AA9694,
1004-9B,Marron,79615B,https://www.valspar.com/en/colors/browse-colors/lowes/brown/marron-1004-9b,13.435,121,97,91,79615B,
V092-4,Creole Mustard,C49046,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/creole-mustard-v092-4,32.16,196,144,70,C49046,
P090,Edgy Green,B79355,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/edgy-green-p090,31.763,183,147,85,B79355,
3004-9A,Muddy Mississippi,7D5D42,https://www.valspar.com/en/colors/browse-colors/lowes/brown/muddy-mississippi-3004-9a,12.662,125,93,66,7D5D42,
T509,African Savannah,B19361,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/african-savannah-t509,31.248,177,147,97,B19361,
3007-9A,Twilight Jungle,746045,https://www.valspar.com/en/colors/browse-colors/lowes/brown/twilight-jungle-3007-9a,12.502,116,96,69,746045,
T520,Golden Moss,AE945D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/golden-moss-t520,31.08,174,148,93,AE945D,
3001-7A,Wooden Wagon,7A5844,https://www.valspar.com/en/colors/browse-colors/lowes/brown/wooden-wagon-3001-7a,11.581,122,88,68,7A5844,
P051,Etruscan Bronze,B68E65,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/etruscan-bronze-p051,30.077,182,142,101,B68E65,
V089-4,Ancient Fresco,B48E63,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/ancient-fresco-v089-4,29.96,180,142,99,B48E63,
3002-9A,Mona's Mane,7F5B43,https://www.valspar.com/en/colors/browse-colors/lowes/brown/monas-mane-3002-9a,12.432,127,91,67,7F5B43,
V093-4,Modern Avocado,AB9164,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/modern-avocado-v093-4,29.892,171,145,100,AB9164,
8005-2F,Catch of the Day,676259,https://www.valspar.com/en/colors/browse-colors/lowes/brown/catch-of-the-day-8005-2f,12.0,103,98,89,676259,
3008-9A,Stampede,6C5A47,https://www.valspar.com/en/colors/browse-colors/lowes/brown/stampede-3008-9a,11.013,108,90,71,6C5A47,
6008-2C,Prairie Foliage,65563F,https://www.valspar.com/en/colors/browse-colors/lowes/brown/prairie-foliage-6008-2c,9.795,101,86,63,65563F,
V087-4,Sassafras Tea,B28E6D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/sassafras-tea-v087-4,29.77,178,142,109,B28E6D,
V094-4,Ecosystem,A69269,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/ecosystem-v094-4,29.859,166,146,105,A69269,
8004-20G,Midnight Forest,625745,https://www.valspar.com/en/colors/browse-colors/lowes/brown/midnight-forest-8004-20g,10.0,98,87,69,625745,
8004-9F,Rue Bourbon,6A5245,https://www.valspar.com/en/colors/browse-colors/lowes/brown/rue-bourbon-8004-9f,10.0,106,82,69,6A5245,
