name,code,r,g,b,hex,brand,url
"SIESTA ROSE","PPG1188-5","236","120","120","#EC7878","PPG","/color/color-families/pinks/siesta-rose"
"SMOKED SALMON","PPG1189-5","238","134","125","#EE867D","PPG","/color/color-families/pinks/smoked-salmon"
"CRANAPPLE","PPG1190-5","219","128","121","#DB8079","PPG","/color/color-families/pinks/cranapple"
"RED CEDAR","PPG1187-5","216","118","120","#D87678","PPG","/color/color-families/pinks/red-cedar"
"OBSESSED","PPG1186-5","209","109","118","#D16D76","PPG","/color/color-families/pinks/obsessed"
"RAZZBERRIES","PPG1183-5","209","118","140","#D1768C","PPG","/color/color-families/pinks/razzberries"
"PRIMROSE","PPG1182-5","214","133","159","#D6859F","PPG","/color/color-families/pinks/primrose"
"BRIAR ROSE","PPG1050-5","192","114","129","#C07281","PPG","/color/color-families/pinks/briar-rose"
"LUSH ROSE","PPG18-30","190","114","124","#BE727C","PPG","/color/color-families/pinks/lush-rose"
"CRANBERRY","PPG1051-5","194","114","119","#C27277","PPG","/color/color-families/reds/cranberry"
"CHILI PEPPER","PPG1057-5","202","124","116","#CA7C74","PPG","/color/color-families/pinks/chili-pepper"
"SUNSTONE","PPG1058-5","199","136","127","#C7887F","PPG","/color/color-families/pinks/sunstone"
"EMBERGLO","PPG18-29","198","121","118","#C67976","PPG","/color/color-families/pinks/emberglo"
"EARTH ROSE","PPG1056-5","181","119","112","#B57770","PPG","/color/color-families/pinks/earth-rose"
"HORIZON GLOW","PPG1052-5","173","113","113","#AD7171","PPG","/color/color-families/reds/horizon-glow"
"MAKE MINE MAUVE","PPG18-22","160","102","107","#A0666B","PPG","/color/color-families/reds/make-mine-mauve"
"RASPBERRY RIPPLE","PPG18-31","178","101","108","#B2656C","PPG","/color/color-families/reds/raspberry-ripple"
"CINNAMON DIAMONDS","PPG1055-5","169","118","115","#A97673","PPG","/color/color-families/pinks/cinnamon-diamonds"
"FERRIS WHEEL","PPG1059-5","173","125","118","#AD7D76","PPG","/color/color-families/reds/ferris-wheel"
"BEDFORD BROWN","PPG1060-5","170","136","128","#AA8880","PPG","/color/color-families/reds/bedford-brown"
"HELIOTROPE","PPG1015-5","164","148","145","#A49491","PPG","/color/color-families/neutrals/heliotrope"
"TALAVERA","PPG1018-5","160","146","139","#A0928B","PPG","/color/color-families/neutrals/talavera"
"ELEPHANT GRAY","PPG1005-5","141","132","127","#8D847F","PPG","/color/color-families/neutrals/elephant-gray"
"CINNAMON TOAST","PPG1017-5","141","125","119","#8D7D77","PPG","/color/color-families/neutrals/cinnamon-toast"
"WILD WILDERNESS","PPG1019-5","145","133","124","#91857C","PPG","/color/color-families/neutrals/wild-wilderness"
"SIMMERING SMOKE","PPG1019-4","169","159","150","#A99F96","PPG","/color/color-families/neutrals/simmering-smoke"
"WINTER'S NAP","PPG1018-4","169","159","151","#A99F97","PPG","/color/color-families/neutrals/winter-s-nap"
"RIVETER ROSE","PPG1017-4","183","169","162","#B7A9A2","PPG","/color/color-families/neutrals/riveter-rose"
"SLATE PEBBLE","PPG1005-4","180","173","169","#B4ADA9","PPG","/color/color-families/neutrals/slate-pebble"
"CITY STREET","PPG1018-3","186","178","171","#BAB2AB","PPG","/color/color-families/neutrals/city-street"
"FOND MEMORY","PPG1017-3","200","188","183","#C8BCB7","PPG","/color/color-families/neutrals/fond-memory"
"GRAY SHADOWS","PPG1005-3","194","189","186","#C2BDBA","PPG","/color/color-families/neutrals/gray-shadows"
"LEGENDARY","PPG1019-3","198","186","175","#C6BAAF","PPG","/color/color-families/neutrals/legendary"
"SUBDUED","PPG1015-4","204","184","179","#CCB8B3","PPG","/color/color-families/neutrals/subdued"
"VELVETEEN CRUSH","PPG1060-4","205","174","165","#CDAEA5","PPG","/color/color-families/pinks/velveteen-crush"
"PARFAIT","PPG1059-4","200","166","161","#C8A6A1","PPG","/color/color-families/pinks/parfait"
"AWAKENING","PPG18-05","187","158","155","#BB9E9B","PPG","/color/color-families/reds/awakening"
