key_id,key_name,key_hex6,key_url,friend_name,friend_hex6,friend_url,relationship
V030-1,Ambient Light,C9E8EA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/ambient-light-v030-1,Santa's Beard,F3F2ED,https://www.valspar.com/en/colors/browse-colors/independent-retailers/white/santas-beard-v150,coordinating
V030-1,Ambient Light,C9E8EA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/ambient-light-v030-1,Scottish Moss,A88B2D,https://www.valspar.com/en/colors/browse-colors/independent-retailers/yellow/scottish-moss-v056-5,coordinating
V109-1,Dreamstress,D6E4EA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/dreamstress-v109-1,Cobbler Shop,A98D6E,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/cobbler-shop-p052,coordinating
V109-1,Dreamstress,D6E4EA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/dreamstress-v109-1,April Rain,98ABA7,https://www.valspar.com/en/colors/browse-colors/independent-retailers/teal/april-rain-v100-4,coordinating
V109-1,Dreamstress,D6E4EA,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/dreamstress-v109-1,Déjà Blue,99B8C4,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/deja-blue-v106-3,coordinating
V032-1,Fresh Dawn,C8E5EC,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/fresh-dawn-v032-1,World's Away,918F85,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/worlds-away-v145-4,coordinating
V032-1,Fresh Dawn,C8E5EC,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/fresh-dawn-v032-1,Greenish Gray,6D6F61,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/greenish-gray-v144-6,coordinating
V032-1,Fresh Dawn,C8E5EC,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/fresh-dawn-v032-1,Love Crystal,D0DAE8,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/love-crystal-v074-1,coordinating
8004-38B,Annabelle,B4C5CB,https://www.valspar.com/en/colors/browse-colors/lowes/blue/annabelle-8004-38b,Cool Gray,EBECE6,https://www.valspar.com/en/colors/browse-colors/lowes/white/cool-gray-7006-10,coordinating
8004-38B,Annabelle,B4C5CB,https://www.valspar.com/en/colors/browse-colors/lowes/blue/annabelle-8004-38b,Garden Flower,BFC7BB,https://www.valspar.com/en/colors/browse-colors/lowes/green/garden-flower-5004-3b,coordinating
8004-38B,Annabelle,B4C5CB,https://www.valspar.com/en/colors/browse-colors/lowes/blue/annabelle-8004-38b,Dream Weaver,A3AFAC,https://www.valspar.com/en/colors/browse-colors/lowes/gray/dream-weaver-8004-33d,coordinating
V100-1,Soft Haze,D1DED8,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/soft-haze-v100-1,Romantic White,E0D6CE,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/romantic-white-v129-1,coordinating
V100-1,Soft Haze,D1DED8,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/soft-haze-v100-1,Silver Bonnet,B5B5B0,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/silver-bonnet-v121-1,coordinating
V100-1,Soft Haze,D1DED8,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/soft-haze-v100-1,Greenwich Green,797A63,https://www.valspar.com/en/colors/browse-colors/independent-retailers/gray/greenwich-green-p023,coordinating
4005-5B,Sailboat,AAC5D4,https://www.valspar.com/en/colors/browse-colors/lowes/blue/sailboat-4005-5b,Ultra White,F8F8F3,https://www.valspar.com/en/colors/browse-colors/lowes/white/ultra-white-7006-24,coordinating
4005-5B,Sailboat,AAC5D4,https://www.valspar.com/en/colors/browse-colors/lowes/blue/sailboat-4005-5b,Nostalgia,7A9CAB,https://www.valspar.com/en/colors/browse-colors/lowes/blue/nostalgia-4007-6a,coordinating
4005-5B,Sailboat,AAC5D4,https://www.valspar.com/en/colors/browse-colors/lowes/blue/sailboat-4005-5b,Ice Sculpture,99C8DD,https://www.valspar.com/en/colors/browse-colors/lowes/blue/ice-sculpture-5001-7b,coordinating
T633,Barest Hint of Blue,CBDDDF,https://www.valspar.com/en/colors/browse-colors/independent-retailers/blue/barest-hint-of-blue-t633,Patrick's Eyes,BCB5A2,https://www.valspar.com/en/colors/browse-colors/independent-retailers/neutral/patricks-eyes-t690,coordinating
