hex1,hex2
F1E4CB,F4ECDB
F1E4CB,E26058
F4ECDB,E26058
F3DEBC,FFF9EC
F3DEBC,BFD1C9
FFF9EC,BFD1C9
606788,FFFCEC
606788,D2C6AE
FFFCEC,D2C6AE
E5D0B0,F7F6F1
E5D0B0,C8D1C4
F7F6F1,C8D1C4
644B41,EEDFDD
644B41,C6AEAA
EEDFDD,C6AEAA
5D625C,E6E3D6
5D625C,BAB4A6
E6E3D6,BAB4A6
9497B3,F8F5E9
9497B3,E3CBA8
F8F5E9,E3CBA8
5D5B56,F0EFEB
5D5B56,D8CEB9
F0EFEB,D8CEB9
60605E,F8F5E9
60605E,F1D5AE
F8F5E9,F1D5AE
9F414B,F1E4CB
9F414B,D8CEB9
F1E4CB,D8CEB9
007F3A,F5E9D9
007F3A,D6C0A4
F5E9D9,D6C0A4
FF90A2,FBF1DF
FF90A2,F7D8C4
FBF1DF,F7D8C4
DAD000,F4F1EB
DAD000,BAB6A9
F4F1EB,BAB6A9
FFFCDA,FDEFE9
FFFCDA,E8DCD5
FDEFE9,E8DCD5
9F4D65,FDEFE9
9F4D65,D6C3B9
FDEFE9,D6C3B9
F9E7F4,FDFAF1
F9E7F4,D5C6BD
FDFAF1,D5C6BD
FFC9DD,FFFBEE
FFC9DD,D8DADB
FFFBEE,D8DADB
B73D3F,FFFCEC
B73D3F,C7B39E
FFFCEC,C7B39E
FFBBB4,FDFAF1
FFBBB4,D76968
FDFAF1,D76968
894C3B,FFFCEC
894C3B,D8C7B6
FFFCEC,D8C7B6
CC5160,FFFCEC
CC5160,C7B39E
FFFCEC,C7B39E
FFE6F1,ECE3E1
FFE6F1,DBD0CE
ECE3E1,DBD0CE
876B4B,F5E9D9
876B4B,D6C0A4
F5E9D9,D6C0A4
A4725A,EDE9DD
A4725A,C5C0AC
EDE9DD,C5C0AC
FFF47C,FFFFE8
FFF47C,D8CFC1
FFFFE8,D8CFC1
D1D5E7,F4F0E8
D1D5E7,D4CEBF
F4F0E8,D4CEBF
718B9A,F8F5E9
718B9A,CEBE9F
F8F5E9,CEBE9F
C8987E,E3E1CC
C8987E,A9B49A
E3E1CC,A9B49A
CFA14A,F6EBD7
CFA14A,BBB0B1
F6EBD7,BBB0B1
98BE3C,F5EFE8
98BE3C,C1B4A0
F5EFE8,C1B4A0
6B574A,F5ECE7
6B574A,D5C6BD
F5ECE7,D5C6BD
C5B9B4,ECE5E1
