code,hex,collection,name,description,lrv,usage,url
DE6014,#5F4947,Perfect Palette,DARK CHOCOLATE,,,,https://www.dunnedwards.com/colors/browser/de6014/
DE6015,#F4E5E7,Perfect Palette,FIRST IMPRESSION,,,,https://www.dunnedwards.com/colors/browser/de6015/
DE6016,#E8D2D6,Perfect Palette,DESERT MAUVE,,,,https://www.dunnedwards.com/colors/browser/de6016/
DE6017,#D4B8BF,Perfect Palette,MELTING VIOLET,,,,https://www.dunnedwards.com/colors/browser/de6017/
DE6018,#BA99A2,Perfect Palette,PLAYFUL PLUM,,,,https://www.dunnedwards.com/colors/browser/de6018/
DE6019,#9D777C,Perfect Palette,BOHEMIAN JAZZ,"Summon the feeling of a turn of the century club with all of its smoky splendor and intrigue. Bohemian Jazz is a dusty, mid-tone plum paint color that feels sophisticated and timeless.",,,https://www.dunnedwards.com/colors/browser/de6019/
DE6020,#825E61,Perfect Palette,RIPE PLUM,,,,https://www.dunnedwards.com/colors/browser/de6020/
DE6021,#654846,Perfect Palette,OUTER BOUNDARY,"Outer Boundary color is a dark, rich brown with a subtle hint of plum. The warmth and depth of this color will make a space feel cozy and grounded, while still bringing a luxurious feeling to any design. Pair with dusty pink and olive green for a fun, vintage vibe.",,,https://www.dunnedwards.com/colors/browser/de6021/
DE6022,#F7E5E6,Perfect Palette,MARSHMALLOW ROSE,,,,https://www.dunnedwards.com/colors/browser/de6022/
DE6023,#EDD1D3,Perfect Palette,SHORT AND SWEET,,,,https://www.dunnedwards.com/colors/browser/de6023/
DE6024,#DBB7BB,Perfect Palette,PENCIL ERASER,,,,https://www.dunnedwards.com/colors/browser/de6024/
DE6025,#C4989E,Perfect Palette,ROSE MEADOW,,,,https://www.dunnedwards.com/colors/browser/de6025/
DE6026,#A87678,Perfect Palette,HANDMADE RED,,,,https://www.dunnedwards.com/colors/browser/de6026/
DE6027,#8E5E5E,Perfect Palette,ANTIQUE GARNET,"Dusky red paint color with subdued plum undertones will turn any home into an instant classic. Add a touch of drama and sophistication with this moody, vintage hue.",,,https://www.dunnedwards.com/colors/browser/de6027/
DE6028,#734A45,Perfect Palette,DARK RUBY,"Dark Ruby color is a deep, earthy red and part of our Warm Neutrals Collection. Adding depth and color as an alternative to traditional neutrals, Dark Ruby adds complex energy to a space. Dark Ruby pairs well with other earthy neutrals and can add a vintage touch in living rooms and dining rooms. Architecturally, Dark Ruby adds a beautiful touch of warmth for your mountain cabin hideaway.",,,https://www.dunnedwards.com/colors/browser/de6028/
DE6029,#EDE2E0,Perfect Palette,MOTHER OF PEARL,,,,https://www.dunnedwards.com/colors/browser/de6029/
DE6030,#E2D5D3,Perfect Palette,WHIRLWIND,,,,https://www.dunnedwards.com/colors/browser/de6030/
DE6031,#CDBDBA,Perfect Palette,WAFTING GRAY,,,,https://www.dunnedwards.com/colors/browser/de6031/
DE6032,#B29E9D,Perfect Palette,HAZELNUT,,,,https://www.dunnedwards.com/colors/browser/de6032/
DE6033,#917A75,Perfect Palette,PORCUPINE NEEDLES,,,,https://www.dunnedwards.com/colors/browser/de6033/
DE6034,#78615C,Perfect Palette,RAISIN IN THE SUN,,,,https://www.dunnedwards.com/colors/browser/de6034/
DE6035,#604D47,Perfect Palette,LYNX,,,,https://www.dunnedwards.com/colors/browser/de6035/
DE6036,#ECE3E1,Perfect Palette,CLOUDY GRAY,,,,https://www.dunnedwards.com/colors/browser/de6036/
DE6037,#DBD0CE,Perfect Palette,GEYSER,,,,https://www.dunnedwards.com/colors/browser/de6037/
DE6038,#C3B4B3,Perfect Palette,YOUNG FAWN,,,,https://www.dunnedwards.com/colors/browser/de6038/
DE6039,#A49593,Perfect Palette,MONSOON,,,,https://www.dunnedwards.com/colors/browser/de6039/
DE6040,#86736E,Perfect Palette,CAVE OF THE WINDS,,,,https://www.dunnedwards.com/colors/browser/de6040/
DE6041,#6F5D57,Perfect Palette,MISSING LINK,,,,https://www.dunnedwards.com/colors/browser/de6041/
DE6042,#5B4A44,Perfect Palette,BEAR IN MIND,,,,https://www.dunnedwards.com/colors/browser/de6042/
DE6043,#EEDFDD,Perfect Palette,MANNEQUIN,,,,https://www.dunnedwards.com/colors/browser/de6043/
DE6044,#DDC9C6,Perfect Palette,MISTY BLUSH,,,,https://www.dunnedwards.com/colors/browser/de6044/
DE6045,#C6AEAA,Perfect Palette,WISPY MAUVE,,,,https://www.dunnedwards.com/colors/browser/de6045/
DE6046,#A88E8B,Perfect Palette,ASH HOLLOW,,,,https://www.dunnedwards.com/colors/browser/de6046/
DE6047,#8C6E67,Perfect Palette,ECLECTIC PLUM,,,,https://www.dunnedwards.com/colors/browser/de6047/
DE6048,#765952,Perfect Palette,PINE CONE,,,,https://www.dunnedwards.com/colors/browser/de6048/
DE6049,#644B41,Perfect Palette,CHAPS,,,,https://www.dunnedwards.com/colors/browser/de6049/
DE6050,#F0E0DC,Perfect Palette,WHITE RUSSIAN,,,,https://www.dunnedwards.com/colors/browser/de6050/
DE6051,#E2CCC7,Perfect Palette,PALE BERRIES,"Inspired by the softly stained cream of strawberry shortcake, Pale Berries is a delicate, wispy rose taupe paint color. This warm purple gives any space a comfortable, casual feeling.",,,https://www.dunnedwards.com/colors/browser/de6051/
DE6052,#CDB1AB,Perfect Palette,DUSTY TRAIL,,,,https://www.dunnedwards.com/colors/browser/de6052/
DE6053,#B1928C,Perfect Palette,PLUSH SUEDE,"Plush Suede is a midtone rosy brown color and part of our Warm Neutrals Collection. With the touch of rose and it's warm tones, Plush Suede gives a sense of luxury and is perfect for entertainment spaces such as dining and living rooms. Pair with a muted pink and restful green to elevate the space.",,,https://www.dunnedwards.com/colors/browser/de6053/
