name,code,url,family,r,g,b,
Flan,SW6652,/en-us/color/color-family/orange-paint-colors/sw6652-flan,Orange,244,212,175,
Flattering Peach,SW6638,/en-us/color/color-family/orange-paint-colors/sw6638-flattering-peach,Orange,244,211,179,
Fleeting Green,SW6455,/en-us/color/color-family/blue-paint-colors/sw6455-fleeting-green,Blue,216,226,216,
Flyway,SW6794,/en-us/color/color-family/blue-paint-colors/sw6794-flyway,Blue,93,179,212,
Forever Lilac,SW9067,/en-us/color/color-family/purple-paint-colors/sw9067-forever-lilac,Purple,175,165,199,
Forget-Me-Not,SW6824,/en-us/color/color-family/purple-paint-colors/sw6824-forget-me-not,Purple,113,105,152,
Forsythia,SW6907,/en-us/color/color-family/yellow-paint-colors/sw6907-forsythia,Yellow,255,200,1,
Forward Fuchsia,SW6842,/en-us/color/color-family/red-paint-colors/sw6842-forward-fuchsia,Red,146,52,91,
Fountain,SW6787,/en-us/color/color-family/blue-paint-colors/sw6787-fountain,Blue,86,181,202,
Fragile Beauty,SW7553,/en-us/color/color-family/white-paint-colors/sw7553-fragile-beauty,White,231,215,198,
Framboise,SW6566,/en-us/color/color-family/red-paint-colors/sw6566-framboise,Red,124,54,85,
Frank Blue,SW6967,/en-us/color/color-family/purple-paint-colors/sw6967-frank-blue,Purple,34,82,136,
Free Spirit,SW6973,/en-us/color/color-family/purple-paint-colors/sw6973-free-spirit,Purple,202,178,210,
Freshwater,SW6774,/en-us/color/color-family/blue-paint-colors/sw6774-freshwater,Blue,77,166,178,
Friendly Yellow,SW6680,/en-us/color/color-family/yellow-paint-colors/sw6680-friendly-yellow,Yellow,245,224,177,
Frolic,SW6703,/en-us/color/color-family/green-paint-colors/sw6703-frolic,Green,217,198,97,
Front Porch,SW7651,/en-us/color/color-family/neutral-paint-colors/sw7651-front-porch,Neutral,204,204,197,
Frost Bite,SW9505,/en-us/color/color-family/white-paint-colors/sw9505-frost-bite,White,246,240,229,
Frosted Emerald,SW9035,/en-us/color/color-family/green-paint-colors/sw9035-frosted-emerald,Green,120,177,133,
Fully Purple,SW6983,/en-us/color/color-family/purple-paint-colors/sw6983-fully-purple,Purple,81,76,126,
Fun Yellow,SW6908,/en-us/color/color-family/yellow-paint-colors/sw6908-fun-yellow,Yellow,247,229,148,
Funky Yellow,SW6913,/en-us/color/color-family/yellow-paint-colors/sw6913-funky-yellow,Yellow,237,210,111,
Futon,SW7101,/en-us/color/color-family/white-paint-colors/sw7101-futon,White,237,230,219,
Gala Pink,SW6579,/en-us/color/color-family/red-paint-colors/sw6579-gala-pink,Red,176,75,99,
Gambol Gold,SW6690,/en-us/color/color-family/yellow-paint-colors/sw6690-gambol-gold,Yellow,225,176,71,
Gardenia,SW6665,/en-us/color/color-family/red-paint-colors/sw6665-gardenia,Red,243,226,201,
Gecko,SW6719,/en-us/color/color-family/green-paint-colors/sw6719-gecko,Green,122,136,51,
Gentian,SW6817,/en-us/color/color-family/purple-paint-colors/sw6817-gentian,Purple,101,114,165,
Gentle Aquamarine,SW9046,/en-us/color/color-family/blue-paint-colors/sw9046-gentle-aquamarine,Blue,151,203,210,
Gibraltar,SW6257,/en-us/color/color-family/neutral-paint-colors/sw6257-gibraltar,Neutral,98,105,112,
Glad Yellow,SW6694,/en-us/color/color-family/yellow-paint-colors/sw6694-glad-yellow,Yellow,245,225,172,
Gleeful,SW6709,/en-us/color/color-family/green-paint-colors/sw6709-gleeful,Green,218,215,144,
Glimmer,SW6476,/en-us/color/color-family/green-paint-colors/sw6476-glimmer,Green,224,231,226,
Glitzy Gold,SW6691,/en-us/color/color-family/yellow-paint-colors/sw6691-glitzy-gold,Yellow,214,160,43,
Gold Crest,SW6670,/en-us/color/color-family/yellow-paint-colors/sw6670-gold-crest,Yellow,223,153,56,
Golden Plumeria,SW9019,/en-us/color/color-family/yellow-paint-colors/sw9019-golden-plumeria,Yellow,251,208,115,
Goldenrod,SW6677,/en-us/color/color-family/yellow-paint-colors/sw6677-goldenrod,Yellow,242,175,70,
Goldfinch,SW6905,/en-us/color/color-family/yellow-paint-colors/sw6905-goldfinch,Yellow,253,183,2,
Gorgeous White,SW6049,/en-us/color/color-family/purple-paint-colors/sw6049-gorgeous-white,Purple,231,219,211,
Gossamer Veil,SW9165,/en-us/color/color-family/neutral-paint-colors/sw9165-gossamer-veil,Neutral,211,206,196,
Grandeur Plum,SW6565,/en-us/color/color-family/red-paint-colors/sw6565-grandeur-plum,Red,146,87,111,
Grasshopper,SW6733,/en-us/color/color-family/green-paint-colors/sw6733-grasshopper,Green,79,133,74,
Gray Clouds,SW7658,/en-us/color/color-family/neutral-paint-colors/sw7658-gray-clouds,Neutral,183,183,178,
Gray Matters,SW7066,/en-us/color/color-family/neutral-paint-colors/sw7066-gray-matters,Neutral,167,168,162,
Gray Screen,SW7071,/en-us/color/color-family/neutral-paint-colors/sw7071-gray-screen,Neutral,198,202,202,
Green Trance,SW6462,/en-us/color/color-family/blue-paint-colors/sw6462-green-trance,Blue,215,228,219,
Green Vibes,SW6928,/en-us/color/color-family/green-paint-colors/sw6928-green-vibes,Green,212,231,195,
Greenbelt,SW6927,/en-us/color/color-family/green-paint-colors/sw6927-greenbelt,Green,1,114,68,
Greens,SW6748,/en-us/color/color-family/green-paint-colors/sw6748-greens,Green,1,104,68,
Grenadine,SW6592,/en-us/color/color-family/red-paint-colors/sw6592-grenadine,Red,214,105,114,
Gris,SW7659,/en-us/color/color-family/neutral-paint-colors/sw7659-gris,Neutral,165,169,168,
Grizzle Gray,SW7068,/en-us/color/color-family/neutral-paint-colors/sw7068-grizzle-gray,Neutral,99,101,98,
Gulfstream,SW6768,/en-us/color/color-family/blue-paint-colors/sw6768-gulfstream,Blue,1,133,139,
Gusto Gold,SW6904,/en-us/color/color-family/yellow-paint-colors/sw6904-gusto-gold,Yellow,248,172,29,
Habanero Chile,SW7589,/en-us/color/color-family/orange-paint-colors/sw7589-habanero-chile,Orange,184,71,61,
Haute Pink,SW6570,/en-us/color/color-family/red-paint-colors/sw6570-haute-pink,Red,216,153,177,
Heartfelt,SW6586,/en-us/color/color-family/red-paint-colors/sw6586-heartfelt,Red,189,76,95,
Heartthrob,SW6866,/en-us/color/color-family/red-paint-colors/sw6866-heartthrob,Red,168,46,51,
Hearty Orange,SW6622,/en-us/color/color-family/orange-paint-colors/sw6622-hearty-orange,Orange,180,75,52,
Hep Green,SW6704,/en-us/color/color-family/green-paint-colors/sw6704-hep-green,Green,196,177,70,
High Strung,SW6705,/en-us/color/color-family/green-paint-colors/sw6705-high-strung,Green,172,152,37,
Holiday Turquoise,SW0075,/en-us/color/color-family/blue-paint-colors/sw0075-holiday-turquoise,Blue,138,198,189,
Homburg Gray,SW7622,/en-us/color/color-family/neutral-paint-colors/sw7622-homburg-gray,Neutral,102,109,105,
Honey Bees,SW9018,/en-us/color/color-family/yellow-paint-colors/sw9018-honey-bees,Yellow,251,214,130,
Honey Blush,SW6660,/en-us/color/color-family/orange-paint-colors/sw6660-honey-blush,Orange,245,207,155,
Honied White,SW7106,/en-us/color/color-family/white-paint-colors/sw7106-honied-white,White,248,238,219,
Honorable Blue,SW6811,/en-us/color/color-family/purple-paint-colors/sw6811-honorable-blue,Purple,22,69,118,
Hopeful,SW6597,/en-us/color/color-family/red-paint-colors/sw6597-hopeful,Red,240,179,178,
Hot,SW6843,/en-us/color/color-family/red-paint-colors/sw6843-hot,Red,172,67,98,
Houseplant,SW6727,/en-us/color/color-family/green-paint-colors/sw6727-houseplant,Green,88,113,63,
Humorous Green,SW6918,/en-us/color/color-family/green-paint-colors/sw6918-humorous-green,Green,198,184,54,
Hush White,SW6042,/en-us/color/color-family/purple-paint-colors/sw6042-hush-white,Purple,229,218,212,
Husky Orange,SW6636,/en-us/color/color-family/orange-paint-colors/sw6636-husky-orange,Orange,187,97,62,
Hyacinth Tint,SW6968,/en-us/color/color-family/purple-paint-colors/sw6968-hyacinth-tint,Purple,194,203,224,
Hyper Blue,SW6965,/en-us/color/color-family/blue-paint-colors/sw6965-hyper-blue,Blue,1,95,151,
Iceberg,SW6798,/en-us/color/color-family/blue-paint-colors/sw6798-iceberg,Blue,214,228,231,
Icelandic,SW6526,/en-us/color/color-family/purple-paint-colors/sw6526-icelandic,Purple,203,216,225,
Icicle,SW6238,/en-us/color/color-family/purple-paint-colors/sw6238-icicle,Purple,219,223,224,
Icy Lemonade,SW1667,/en-us/color/color-family/yellow-paint-colors/sw1667-icy-lemonade,Yellow,244,232,178,
Illusive Green,SW9164,/en-us/color/color-family/neutral-paint-colors/sw9164-illusive-green,Neutral,146,148,141,
Impatiens Petal,SW6582,/en-us/color/color-family/red-paint-colors/sw6582-impatiens-petal,Red,241,210,215,
Impulsive Purple,SW6832,/en-us/color/color-family/purple-paint-colors/sw6832-impulsive-purple,Purple,98,73,119,
In the Pink,SW6583,/en-us/color/color-family/red-paint-colors/sw6583-in-the-pink,Red,240,188,201,
Indigo,SW6531,/en-us/color/color-family/purple-paint-colors/sw6531-indigo,Purple,40,74,112,
Inspired Lilac,SW6820,/en-us/color/color-family/purple-paint-colors/sw6820-inspired-lilac,Purple,223,217,228,
Intense Teal,SW6943,/en-us/color/color-family/blue-paint-colors/sw6943-intense-teal,Blue,1,118,128,
Intimate White,SW6322,/en-us/color/color-family/orange-paint-colors/sw6322-intimate-white,Orange,240,225,216,
Intricate Ivory,SW6350,/en-us/color/color-family/white-paint-colors/sw6350-intricate-ivory,White,237,221,202,
Inventive Orange,SW6633,/en-us/color/color-family/orange-paint-colors/sw6633-inventive-orange,Orange,232,157,111,
Invigorate,SW6886,/en-us/color/color-family/orange-paint-colors/sw6886-invigorate,Orange,228,114,55,
Ionian,SW6754,/en-us/color/color-family/blue-paint-colors/sw6754-ionian,Blue,54,137,118,
Ionic Ivory,SW6406,/en-us/color/color-family/yellow-paint-colors/sw6406-ionic-ivory,Yellow,231,223,197,
Irish Cream,SW7537,/en-us/color/color-family/white-paint-colors/sw7537-irish-cream,White,227,210,184,
Irresistible,SW6562,/en-us/color/color-family/red-paint-colors/sw6562-irresistible,Red,227,192,207,
Izmir Purple,SW6825,/en-us/color/color-family/purple-paint-colors/sw6825-izmir-purple,Purple,77,66,110,
Jacaranda,SW6802,/en-us/color/color-family/purple-paint-colors/sw6802-jacaranda,Purple,90,158,192,
Jaipur Pink,SW6577,/en-us/color/color-family/red-paint-colors/sw6577-jaipur-pink,Red,227,146,161,
Jalapeño,SW6629,/en-us/color/color-family/orange-paint-colors/sw6629-jalapeno,Orange,177,83,60,
Jamaica Bay,SW6781,/en-us/color/color-family/blue-paint-colors/sw6781-jamaica-bay,Blue,52,163,182,
Jardin,SW6723,/en-us/color/color-family/green-paint-colors/sw6723-jardin,Green,189,208,171,
Jargon Jade,SW6753,/en-us/color/color-family/blue-paint-colors/sw6753-jargon-jade,Blue,83,163,143,
Jay Blue,SW6797,/en-us/color/color-family/blue-paint-colors/sw6797-jay-blue,Blue,1,93,135,
Jazz Age Coral,SW0058,/en-us/color/color-family/red-paint-colors/sw0058-jazz-age-coral,Red,241,191,177,
Jitterbug Jade,SW6987,/en-us/color/color-family/blue-paint-colors/sw6987-jitterbug-jade,Blue,1,157,110,
Jocular Green,SW6736,/en-us/color/color-family/green-paint-colors/sw6736-jocular-green,Green,204,226,202,
Jogging Path,SW7638,/en-us/color/color-family/neutral-paint-colors/sw7638-jogging-path,Neutral,192,185,169,
