name,code,rgb,hex
"High Drama","UL100-5","154,56,67","#9a3843"
"Red Velvet","UL100-6","147,57,64","#933940"
"Geranium","UL100-7","164,58,65","#a43a41"
"Tuscan Russet","UL110-1","114,61,59","#723d3b"
"Regency Rose","UL110-11","167,136,129","#a78881"
"First Waltz","UL110-13","213,188,178","#d5bcb2"
"Bijou Red","UL110-16","163,61,59","#a33d3b"
"Cherry Tart","UL110-18","147,61,62","#933d3e"
"Raw Cinnabar","UL110-2","125,64,59","#7d403b"
"Apple Polish","UL110-20","136,62,63","#883e3f"
"Dozen Roses","UL110-21","128,63,63","#803f3f"
"Polished Leather","UL110-23","79,64,65","#4f4041"
"Indiscreet","UL110-6","172,59,59","#ac3b3b"
"Edgy Red","UL110-7","186,61,60","#ba3d3c"
"Carmine Red","UL110-8","176,83,76","#b0534c"
"Koi","UL120-18","196,87,59","#c4573b"
"Powdered Brick","UL120-21","149,82,71","#955247"
"Antique Copper","UL120-4","158,102,73","#9e6649"
"Scented Clove","UL130-1","97,82,76","#61524c"
"Iced Apricot","UL130-11","239,214,192","#efd6c0"
"Dusty Rosewood","UL130-17","192,170,159","#c0aa9f"
"Cafe Ole","UL130-19","154,127,121","#9a7f79"
"Roasted Nuts","UL130-2","96,77,66","#604d42"
"Burnt Terra","UL130-3","130,99,78","#82634e"
"Spice Cake","UL130-6","183,149,121","#b79579"
"Riviera Clay","UL130-8","201,168,141","#c9a88d"
"French Roast","UL140-1","75,68,61","#4b443d"
"Toffee Bar","UL140-21","148,114,85","#947255"
"Antique Leather","UL140-6","158,142,126","#9e8e7e"
"Golden Leaf","UL150-1","196,139,66","#c48b42"
"Aged Parchment","UL150-10","233,221,202","#e9ddca"
"Hammered Gold","UL150-2","203,157,94","#cb9d5e"
"Solar Fusion","UL150-3","220,159,70","#dc9f46"
"Fortune Cookie","UL150-4","221,185,137","#ddb989"
"Dried Plantain","UL150-6","229,206,169","#e5cea9"
"Light Incense","UL150-7","239,220,190","#efdcbe"
