source_anchor_slug,source_anchor_code,source_anchor_name,source_family,source_url,a_slug,a_code,a_name,a_rgb,a_hex,b_slug,b_code,b_name,b_rgb,b_hex
de5028,DEW-5028,Fairy Wings,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5028/,dew340,DEW-340,Trim,"rgb(253,250,241)",FDFAF1,de6128,DEW-6128,Accent,"rgb(227,210,192)",E3D2C0
de5029,DEW-5029,Berry Frost,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5029/,de5029,DEW-5029,Berry Frost,,FBDAE8,dew317,DEW-317,Trim,"rgb(255,249,236)",FFF9EC
de5029,DEW-5029,Berry Frost,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5029/,de5029,DEW-5029,Berry Frost,,FBDAE8,de5884,DEW-5884,Accent,"rgb(162,183,207)",A2B7CF
de5029,DEW-5029,Berry Frost,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5029/,dew317,DEW-317,Trim,"rgb(255,249,236)",FFF9EC,de5884,DEW-5884,Accent,"rgb(162,183,207)",A2B7CF
de5030,DEW-5030,Sweetheart,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5030/,de5030,DEW-5030,Sweetheart,,F3C3D8,dew313,DEW-313,Trim,"rgb(253,243,228)",FDF3E4
de5030,DEW-5030,Sweetheart,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5030/,de5030,DEW-5030,Sweetheart,,F3C3D8,de6248,DEW-6248,Accent,"rgb(209,210,191)",D1D2BF
de5030,DEW-5030,Sweetheart,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5030/,dew313,DEW-313,Trim,"rgb(253,243,228)",FDF3E4,de6248,DEW-6248,Accent,"rgb(209,210,191)",D1D2BF
de5031,DEW-5031,Think Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5031/,de5031,DEW-5031,Think Pink,,E5A5C1,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0
de5031,DEW-5031,Think Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5031/,de5031,DEW-5031,Think Pink,,E5A5C1,dec767,,Accent,"rgb(210,197,174)",D2C5AE
de5031,DEW-5031,Think Pink,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5031/,dew325,DEW-325,Trim,"rgb(255,251,240)",FFFBF0,dec767,,Accent,"rgb(210,197,174)",D2C5AE
de5032,DEW-5032,Heirloom Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5032/,de5032,DEW-5032,Heirloom Rose,,D182A0,de6036,DEW-6036,Trim,"rgb(236,227,225)",ECE3E1
de5032,DEW-5032,Heirloom Rose,dunn-edwards,https://www.dunnedwards.com/colors/browser/de5032/,de5032,DEW-5032,Heirloom Rose,,D182A0,de6037,DEW-6037,Accent,"rgb(219,208,206)",DBD0CE
